x,y,z
-8.899345092773437216e+01,3.359451370239258239e+01,-6.733078956604003906e+00
-8.889345092773437784e+01,3.359451370239258239e+01,-6.732597351074218750e+00
-8.879345092773436932e+01,3.359451370239258239e+01,-6.730848312377929688e+00
-8.869345092773437500e+01,3.359451370239258239e+01,-6.729394435882568359e+00
-8.859345092773438068e+01,3.359451370239258239e+01,-6.727776050567626953e+00
-8.849345092773437216e+01,3.359451370239258239e+01,-6.726351737976074219e+00
-8.839345092773437784e+01,3.359451370239258239e+01,-6.726022720336914062e+00
-8.829345092773436932e+01,3.359451370239258239e+01,-6.725715637207031250e+00
-8.819345092773437500e+01,3.359451370239258239e+01,-6.725712776184082031e+00
-8.809345092773438068e+01,3.359451370239258239e+01,-6.726754665374755859e+00
-8.799345092773437216e+01,3.359451370239258239e+01,-6.727816104888916016e+00
-8.789345092773437784e+01,3.359451370239258239e+01,-6.727793216705322266e+00
-8.779345092773436932e+01,3.359451370239258239e+01,-6.726938724517822266e+00
-8.769345092773437500e+01,3.359451370239258239e+01,-6.726035118103027344e+00
-8.759345092773438068e+01,3.359451370239258239e+01,-6.725391864776611328e+00
-8.749345092773437216e+01,3.359451370239258239e+01,-6.724423408508300781e+00
-8.739345092773437784e+01,3.359451370239258239e+01,-6.723671436309814453e+00
-8.729345092773436932e+01,3.359451370239258239e+01,-6.723173618316650391e+00
-8.719345092773437500e+01,3.359451370239258239e+01,-6.722741127014160156e+00
-8.709345092773438068e+01,3.359451370239258239e+01,-6.722171783447265625e+00
-8.699345092773437216e+01,3.359451370239258239e+01,-6.721778392791748047e+00
-8.689345092773437784e+01,3.359451370239258239e+01,-6.721438407897949219e+00
-8.679345092773436932e+01,3.359451370239258239e+01,-6.721257209777832031e+00
-8.669345092773437500e+01,3.359451370239258239e+01,-6.720838546752929688e+00
-8.659345092773438068e+01,3.359451370239258239e+01,-6.720908641815185547e+00
-8.649345092773437216e+01,3.359451370239258239e+01,-6.720871925354003906e+00
-8.639345092773437784e+01,3.369451370239258381e+01,-6.720782756805419922e+00
-8.629345092773436932e+01,3.369451370239258381e+01,-6.720825672149658203e+00
-8.619345092773437500e+01,3.369451370239258381e+01,-6.720717430114746094e+00
-8.609345092773438068e+01,3.369451370239258381e+01,-6.720131397247314453e+00
-8.599345092773437216e+01,3.369451370239258381e+01,-6.719736099243164062e+00
-8.589345092773437784e+01,3.369451370239258381e+01,-6.719657897949218750e+00
-8.579345092773436932e+01,3.369451370239258381e+01,-6.719451904296875000e+00
-8.569345092773437500e+01,3.369451370239258381e+01,-6.719133377075195312e+00
